Name,Height,Weight,Position,School,Class,RSCI
Pierre Jackson,5-10,176,PG,Baylor,Sr.,
Myck Kabongo,6-2,180,PG,Texas,So.,10
Erik Murphy,6-10,240,PF,Florida,Sr.,42
Kenny Kadji,6-10,242,PF/C,Miami,Sr.,36
Trevor Mbakwe,6-8,236,PF/C,Minnesota,Sr.,92
Rodney Williams,6-7,200,SF,Minnesota,Sr.,43
DeShaun Thomas,6-6,220,SF/PF,Ohio St.,Jr.,
Ryan Kelly,6-11,230,PF,Duke,Sr.,11
Archie Goodwin,6-5,189,SG,Kentucky,Fr.,12
Grant Jerrett,6-10,232,PF,Arizona,Fr.,10
Ray McCallum,6-1,190,PG,Detroit,Jr.,24
Dewayne Dedmon,6-11,240,C,USC,Jr.,
Carrick Felix,6-6,203,SG/SF,Arizona St.,Sr.,
Peyton Siva,6-1,181,PG,Louisville,Sr.,31
Andre Roberson,6-7,206,SF/PF,Colorado,Jr.,153
Solomon Hill,6-7,226,SF,Arizona,Sr.,48
Adonis Thomas,6-6,232,SF,Memphis,So.,8
Jackie Carmichael,6-9,240,PF,Illinois State,Sr.,
Vander Blue,6-5,197,PG/SG,Marquette,Jr.,30
Amath Mbaye,6-9,215,SF,Oklahoma,Jr.,
Brandon Paul,6-4,200,SG,Illinois,Sr.,50
DJ Stephens,6-5,188,SG/SF,Memphis,Sr.,
Colton Iverson,7-0,263,PF/C,Colorado St.,Sr.,151
Richard Howell,6-7,250,PF/C,NC State,Sr.,60
Mike Muscala,6-11,230,PF/C,Bucknell,Sr.,
Michael Snaer,6-5,200,SG,Florida St.,Sr.,19
BJ Young,6-3,179,SG,Arkansas,So.,
Brandon Davies,6-10,242,PF,BYU,Sr.,
Arsalan Kazemi,6-7,230,PF,Oregon,Sr.,154
Seth Curry,6-2,180,PG/SG,Duke,Sr.,
Rodney McGruder,6-4,205,SG,Kansas State,Sr.,97
Alex Oriakhi,6-9,255,PF/C,Missouri,Sr.,15
Will Cherry,6-1,181,PG,Montana,Sr.,
CJ Aiken,6-9,200,SF/PF,St. Joseph's,Jr.,
Elias Harris,6-7,240,SF/PF,Gonzaga,Sr.,
Phil Pressey,5-11,177,PG,Missouri,Jr.,52
Derrick Nix,6-9,270,PF/C,Michigan St.,Sr.,80
Kevin Parrom,6-6,220,SG/SF,Arizona,Sr.,108
Jack Cooley,6-9,245,PF,Notre Dame,Sr.,117
Durand Scott,6-5,203,SG,Miami,Sr.,26
Christian Watford,6-9,230,SF,Indiana,Sr.,38
Brandon Triche,6-2,210,PG/SG,Syracuse,Sr.,134
Elijah Johnson,6-2,195,PG/SG,Kansas,Sr.,24
Kenny Boynton,6-2,190,PG/SG,Florida,Sr.,8
Devin Booker,6-8,250,PF/C,Clemson,Sr.,95
Ed Daniel,6-7,225,SF/PF,Murray St.,Sr.,
