Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Kevin Rogers,2008-09,6-8,225,SF/PF,Baylor,Sr.,57.0,39.0,39.0,1285,,0.575,0.5589999999999999,0.006,0.405,,,,,,,,16.9,,2.6,1.8,4.4,0.136,,,,,,0.48,1,15.0,0.0,-0.104,-12.4,0.0,-13.5
Charlie Coley,2008-09,6-7,220,SF,Charlotte,Sr.,,31.0,29.0,908,,0.5,0.479,0.052000000000000005,0.386,,,,12.9,5.8,,3.0,16.4,18.2,0.6,2.2,2.8,0.122,,,,,,0.46,0,0,0,0,0,0,0
Lorrenzo Wade,2008-09,6-6,226,SG,San Diego State,Sr.,89.0,26.0,18.0,812,,0.541,0.495,0.233,0.383,,,,,,,,17.3,,1.7,2.1,3.8,0.185,,,,,,1.0,0,0,0,0,0,0,0
Eric Devendorf,2008-09,6-4,175,PG/SG,Syracuse,Jr.,23.0,36.0,28.0,1220,,0.573,0.5379999999999999,0.483,0.28,,,,,,,,17.8,,2.9,1.1,3.9,0.129,,,,,,1.01,0,0,0,0,0,0,0
Lewis Clinch,2008-09,6-3,190,SG,Georgia Tech,Sr.,26.0,24.0,24.0,832,,0.493,0.473,0.607,0.191,,,,5.4,17.6,,0.4,13.9,24.5,0.6,0.7,1.4,0.066,,,,,,1.18,0,0,0,0,0,0,0
Dar Tucker,2008-09,6-3,200,SG,DePaul,So.,42.0,32.0,31.0,1038,,0.488,0.446,0.392,0.35,,,,9.0,11.7,,0.9,12.9,33.8,0.8,1.1,2.0,0.076,,,,,,0.53,0,0,0,0,0,0,0
Connor Atchley,2008-09,6-10,230,PF,Texas,Sr.,,34.0,22.0,619,,0.513,0.471,0.529,0.25,,,,9.6,4.6,,5.8,15.1,14.2,0.4,2.1,2.5,0.16399999999999998,,,,,,0.59,0,0,0,0,0,0,0
John Wall,2009-10,6-4,196,PG,Kentucky,Fr.,2.0,37.0,37.0,1288,,0.562,0.503,0.26,0.53,669.0,2.7,10.1,6.6,34.8,2.9,1.5,21.4,25.7,3.7,2.6,6.3,0.196,,,,,,1.62,0,0,0,0,0,0,0
Evan Turner,2009-10,6-7,214,SG,Ohio State,Jr.,53.0,31.0,31.0,1108,,0.581,0.54,0.12,0.4,682.0,7.3,23.5,15.9,37.5,3.0,2.9,20.0,33.1,4.0,2.8,6.8,0.247,,,,,,1.36,573,35.9,44.3,.104,2.6,23.6,+4.4
Derrick Favors,2009-10,6-10,245,PF,Georgia Tech,Fr.,1.0,36.0,35.0,989,,0.621,0.611,0.003,0.488,420.0,12.6,19.9,16.5,7.9,1.8,7.9,20.0,21.8,2.3,2.5,4.8,0.195,,,,,,0.41,705,26.9,20.2,.051,-1.9,0.5,-4.5
Wes Johnson,2009-10,6-7,206,SF,Syracuse,Jr.,340.0,35.0,35.0,1224,,0.6,0.564,0.299,0.35200000000000004,538.0,7.6,18.3,13.5,11.1,2.7,5.7,14.4,22.1,3.7,2.9,6.6,0.215,,,,,,0.96,677,25.6,53.3,.147,0.9,12.7,+0.1
Greg Monroe,2009-10,6-11,247,PF/C,Georgetown,So.,6.0,34.0,34.0,1164,,0.5670000000000001,0.534,0.07,0.5429999999999999,574.0,8.6,25.2,17.5,22.4,2.2,4.9,18.8,26.7,3.2,2.3,5.5,0.189,,,,,,1.14,609,22.1,10.7,.038,-1.6,1.2,-2.9
Patrick Patterson,2009-10,6-9,240,PF,Kentucky,Jr.,11.0,38.0,38.0,1255,,0.624,0.607,0.184,0.348,498.0,10.6,13.4,12.1,5.5,1.2,4.1,8.6,18.0,4.6,2.4,7.0,0.223,,,,,,0.88,632,27.7,49.7,.136,1.4,15.2,+0.5
DeMarcus Cousins,2009-10,6-11,292,PF/C,Kentucky,Fr.,3.0,38.0,37.0,893,,0.579,0.56,0.016,0.726,555.0,19.8,24.8,22.5,9.2,2.4,7.5,13.6,30.5,3.8,2.7,6.5,0.29,,,,,,0.49,673,21.1,30.2,.102,0.0,7.1,+2.4
Luke Babbitt,2009-10,6-9,218,SF/PF,Nevada,So.,20.0,34.0,34.0,1260,,0.614,0.542,0.201,0.4320000000000001,697.0,6.6,19.4,13.4,11.0,1.6,1.9,11.8,26.8,5.4,1.3,6.7,0.213,,,,,,0.89,565,32.0,44.1,.117,2.6,21.1,+2.1
Al-Farouq Aminu,2009-10,6-8,216,SF,Wake Forest,So.,7.0,31.0,30.0,970,,0.524,0.471,0.17600000000000002,0.532,488.0,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,2.0,2.2,4.3,0.17600000000000002,,,,,,0.41,381,14.0,7.2,.065,-2.1,-0.1,-2.4
Paul George,2009-10,6-9,214,SF,Fresno State,So.,,29.0,29.0,962,,0.5720000000000001,0.506,0.46,0.364,469.0,6.7,18.8,12.8,22.4,4.0,2.9,18.1,27.9,2.3,1.8,4.2,0.173,,,,,,0.94,688,25.1,27.5,.076,-0.5,6.6,+3.4
Ed Davis,2009-10,6-10,227,PF,UNC,So.,10.0,23.0,23.0,641,,0.607,0.578,0.0,0.688,282.0,10.8,24.2,17.6,6.8,0.9,9.5,15.3,21.5,1.8,1.3,3.1,0.194,,,,,,0.48,646,33.5,69.1,.153,4.1,33.1,+6.8
Xavier Henry,2009-10,6-6,210,SG,Kansas,Fr.,6.0,36.0,36.0,990,,0.591,0.555,0.466,0.325,430.0,5.2,11.5,8.6,9.8,3.1,1.8,14.4,23.4,2.8,2.1,4.9,0.197,,,,,,0.77,665,19.9,41.7,.151,-0.1,6.2,-1.6
Avery Bradley,2009-10,6-3,180,SG,Texas,Fr.,5.0,34.0,32.0,1003,,0.496,0.489,0.304,0.179,374.0,3.5,6.6,5.1,12.4,2.4,1.6,11.5,20.4,1.6,1.6,3.2,0.127,,,,,,1.37,185,15.7,0.8,.013,-4.4,-1.7,-0.9
Hassan Whiteside,2009-10,7-0,227,C,Marshall,Fr.,126.0,34.0,23.0,889,,0.5479999999999999,0.528,0.016,0.586,411.0,11.9,23.8,18.3,2.2,1.2,18.8,13.6,25.8,2.0,2.5,4.5,0.2,,,,,,0.16,571,28.3,16.2,.048,-2.2,-0.7,-1.0
