Name,Season,Height,Weight,Position,School,Class,RSCI
Ryan Kelly,2012-13,83,230,PF,Duke,4,16
Archie Goodwin,2012-13,77,189,SG,Kentucky,1,15
Grant Jerrett,2012-13,82,232,PF,Arizona,1,9
Ray McCallum,2012-13,73,190,PG,Detroit,3,26
Dewayne Dedmon,2012-13,83,240,C,USC,3,258
Carrick Felix,2012-13,78,203,SG/SF,Arizona State,4,400
Peyton Siva,2012-13,73,181,PG,Louisville,4,34
Andre Roberson,2012-13,79,206,SF/PF,Colorado,3,153
Solomon Hill,2012-13,79,226,SF,Arizona,4,42
Adonis Thomas,2012-13,78,232,SF,Memphis,2,9
Jackie Carmichael,2012-13,81,240,PF,Illinois State,4,400
Vander Blue,2012-13,77,197,PG/SG,Marquette,3,28
Amath Mbaye,2012-13,81,215,SF,Oklahoma,3,400
Brandon Paul,2012-13,76,200,SG,Illinois,4,125
DJ Stephens,2012-13,77,188,SG/SF,Memphis,4,155
Colton Iverson,2012-13,84,263,PF/C,Colorado State,4,117
Richard Howell,2012-13,79,250,PF/C,NC State,4,65
Mike Muscala,2012-13,83,230,PF/C,Bucknell,4,400
Michael Snaer,2012-13,77,200,SG,Florida State,4,14
BJ Young,2012-13,75,179,SG,Arkansas,2,21
Brandon Davies,2012-13,82,242,PF,BYU,4,327
Arsalan Kazemi,2012-13,79,230,PF,Oregon,4,143
Seth Curry,2012-13,74,180,PG/SG,Duke,4,292
Rodney McGruder,2012-13,76,205,SG,Kansas State,4,106
Alex Oriakhi,2012-13,81,255,PF/C,Missouri,4,20
Will Cherry,2012-13,73,181,PG,Montana,4,282
CJ Aiken,2012-13,81,200,SF/PF,St. Joseph's,3,112
Elias Harris,2012-13,79,240,SF/PF,Gonzaga,4,400
Phil Pressey,2012-13,71,177,PG,Missouri,3,50
Derrick Nix,2012-13,81,270,PF/C,Michigan State,4,76
Kevin Parrom,2012-13,78,220,SG/SF,Arizona,4,93
Jack Cooley,2012-13,81,245,PF,Notre Dame,4,156
Durand Scott,2012-13,77,203,SG,Miami,4,33
Christian Watford,2012-13,81,230,SF,Indiana,4,38
Brandon Triche,2012-13,74,210,PG/SG,Syracuse,4,122
Elijah Johnson,2012-13,74,195,PG/SG,Kansas,4,25
Kenny Boynton,2012-13,74,190,PG/SG,Florida,4,12
